947at7088	HG993134.1	10088702	10109450
949at7088	HG993144.1	5876960	5879743
950at7088	HG993141.1	11636174	11646133
951at7088	HG993140.1	3691056	3706197
954at7088	HG993146.1	6098692	6116101
961at7088	HG993133.1	5856320	5888009
962at7088	HG993152.1	8974363	9113278
963at7088	HG993144.1	4957830	4977682
964at7088	HG993134.1	8049741	8066993
966at7088	HG993138.1	7464891	7494918
968at7088	HG993140.1	11909091	11921498
972at7088	HG993137.1	8789028	8797592
974at7088	HG993158.1	487273	521986
975at7088	HG993131.1	5396666	5399821
978at7088	HG993138.1	4453611	4505719
979at7088	HG993142.1	3767543	3778422
980at7088	HG993143.1	12851107	12855108
981at7088	HG993135.1	9585978	9646618
982at7088	HG993158.1	8689498	8707171
983at7088	HG993141.1	3455612	3510879
984at7088	HG993141.1	2067119	2097011
986at7088	HG993144.1	456885	471076
988at7088	HG993134.1	7438517	7459113
989at7088	HG993138.1	10025180	10076259
992at7088	HG993147.1	8654736	8662306
993at7088	HG993146.1	7551365	7594895
994at7088	HG993151.1	5583994	5595358
998at7088	HG993132.1	11242137	11286597
999at7088	HG993153.1	5778271	5787821
1000at7088	HG993158.1	4954596	4957646
1003at7088	HG993135.1	3293010	3304248
1004at7088	HG993133.1	6088407	6166031
1005at7088	HG993139.1	3893471	3900471
1007at7088	HG993152.1	5898711	5903504
1009at7088	HG993133.1	12680225	12757854
1010at7088	HG993135.1	13556706	13661884
1011at7088	HG993138.1	4310856	4331080
1013at7088	HG993134.1	13976661	13980840
1014at7088	HG993135.1	8132139	8170261
1020at7088	HG993152.1	1114788	1117718
1021at7088	HG993148.1	8494040	8505874
1026at7088	HG993143.1	9999427	10004322
1027at7088	HG993132.1	4569407	4579198
1032at7088	HG993131.1	9187593	9201388
1033at7088	HG993145.1	7281208	7295655
1037at7088	HG993143.1	2415220	2453437
1038at7088	HG993131.1	17049764	17086536
1047at7088	HG993138.1	10594861	10635584
1050at7088	HG993144.1	6491992	6535976
1053at7088	HG993152.1	904391	907303
1056at7088	HG993134.1	2472618	2497867
1057at7088	HG993154.1	7248364	7324004
1058at7088	HG993149.1	3153912	3181017
1063at7088	HG993143.1	2473002	2481015
1065at7088	HG993156.1	1624781	1690415
1066at7088	HG993131.1	5518115	5539361
1068at7088	HG993140.1	5509081	5512695
1070at7088	HG993138.1	6116416	6137129
1075at7088	HG993132.1	10160829	10185754
1076at7088	HG993151.1	6975600	7012968
1078at7088	HG993135.1	8991462	8995259
1079at7088	HG993132.1	4106933	4120967
1080at7088	HG993146.1	196846	200219
1082at7088	HG993141.1	9394989	9412108
1083at7088	HG993131.1	119604	127024
1084at7088	HG993153.1	4783628	4819261
1085at7088	HG993138.1	4778457	4811905
1086at7088	HG993139.1	9623460	9634131
1088at7088	HG993141.1	383577	413711
1089at7088	HG993137.1	6268637	6271468
1090at7088	HG993131.1	6630895	6648778
